年份,省份,二氧化碳排放量,,,,,,,,,,,,国内生产总值状况,,,,,,,,,,,,,,,,,,,,,全社会固定资产投资,人口状况,,,
,,煤炭二氧化碳排放量,焦炭二氧化碳排放量,原油二氧化碳排放量,汽油二氧化碳排放量,煤油二氧化碳排放量,柴油二氧化碳排放量,燃料油二氧化碳排放量,液化石油气二氧化碳排放量,天然气二氧化碳排放量,二氧化碳排放总量,人均二氧化碳排放量,二氧化碳排放强度,,,,,,,,,,,,,,,,,,,,,,,,,,
,,万吨,万吨,万吨,万吨,万吨,万吨,万吨,万吨,万吨,万吨,吨/人,吨CO2/万元,地区生产总值(亿元),地区生产总值－第一产业(亿元),地区生产总值－第二产业(亿元),地区生产总值－工业(亿元),地区生产总值－建筑业(亿元),地区生产总值－第三产业(亿元),地区生产总值－交通运输、仓储和邮政业(亿元),地区生产总值－批发和零售业(亿元),地区生产总值－住宿和餐饮业(亿元),地区生产总值－金融业(亿元),地区生产总值－房地产业(亿元),地区生产总值－其他服务业(亿元),第一产业占GDP比重(%)(没有单位),第二产业占GDP比重(%)(没有单位),第三产业占GDP比重(%)(没有单位),人均地区生产总值(元),地区生产总值指数（上年＝100）(没有单位),地区生产总值指数－第一产业（上年＝100）(没有单位),地区生产总值指数－第二产业（上年＝100）(没有单位),地区生产总值指数－第三产业（上年＝100）(没有单位),社会消费品零售总额(亿元),,年底人口数(万人),人口出生率(‰)(没有单位),人口死亡率(‰)(没有单位),人口自然增长率(‰)(没有单位)
1991,吉林省,7639.3405,412.4302,1421.7336,162.7771,3.8876,159.2987,320.4424,,21.216,10141.126,4.0419,21.881,463.47,120.47,203.02,181.71,21.31,139.98,25.19,32.26,,32.68,6.73,43.12,25.9931,43.8043,30.2026,1878,105.9,100,105.8,113,223.69,113.97,2509,17.09,6.84,10.25
1991,黑龙江省,12399.8959,293.0915,3015.3816,273.3356,7.4715,455.6706,746.5893,,486.453,17677.889,4.9449,21.498,822.3,148.3,413.3,369.5,43.8,260.7,46,79.9,,49.7,12.8,72.3,18.0348,50.2615,31.7038,2310,106.6,91.9,110.7,113.1,352.2,189.6,3575,15.89,5.7,10.19
1991,上海市,5217.2034,1296.8312,2504.6885,146.3179,62.3537,308.7091,1376.8847,,,10912.989,8.144,12.21,893.77,34.06,550.64,514.79,35.85,309.07,79.77,63.68,,83.18,12.19,70.25,3.8894,64.2805,31.8301,6954,107.1,100.4,106.9,108.6,382.06,258.3,1340,7.68,7.01,0.67
1991,江苏省,11840.5021,654.172,2490.1733,266.336,38.4206,556.2901,602.3316,,8.2266,16456.452,2.4045,10.276,1601.38,345.14,793.92,725.83,68.09,462.32,80.26,140.27,,77.81,33.51,130.47,21.5527,49.5772,28.8701,2353,108.3,96.1,108.9,119,578.12,439.98,6844,17.05,6.5,10.55
1991,浙江省,4730.1122,244.7489,736.8883,170.8311,20.0151,405.3918,324.0251,,,6632.013,1.5783,6.088,1089.33,245.22,494.11,438.36,55.75,350,60.04,127.94,,52.87,25.29,83.86,22.5111,45.3591,32.1298,2558,117.8,107.9,118.2,125.6,404,239.75,4202,14.48,6.39,8.09
1991,安徽省,6522.4556,745.645,778.1962,129.1557,25.9681,242.6213,134.3341,,,8578.376,1.489,12.927,663.6,190.5,280.3,245.4,34.9,192.8,44,50.5,,27.9,17.2,53.2,28.7071,42.2393,29.0536,1164,99.1,77.2,109.7,115.9,247.5,137.26,5761,21.19,6.06,15.13
1991,福建省,2486.8289,154.1924,,115.6837,9.8102,193.0245,49.2379,,,3008.778,0.9772,4.854,619.87,168.64,217.74,188.29,29.45,233.49,55.05,60.46,,40.52,12.5,64.96,27.2057,35.1267,37.6676,2041,114.4,109.7,122,111.5,230.99,145.62,3079,20.03,6.26,13.77
1991,江西省,4311.5182,450.3483,469.0224,123.9133,16.1275,140.8239,74.1263,,,5585.88,1.4452,11.653,479.37,183.27,154.77,135.82,18.95,141.33,26.73,27.86,,31.17,9.18,46.39,38.2314,32.2861,29.4824,1249,108.2,103.5,111.8,112.1,169.19,91.07,3865,21.2,7.13,14.07
1991,山东省,13805.9912,909.3742,3539.1082,362.6316,34.5633,702.5697,787.6473,,312.6116,20454.497,2.3868,11.298,1810.54,521.85,745.9,663.9,82,542.79,98.97,161,,,,,28.8229,41.1977,29.9795,2122,114.6,114.2,114,116,536.03,439.82,8570,15.4,6.54,8.86
1991,河南省,11604.5673,664.0239,673.717,254.5919,23.599,425.7265,123.491,,232.2938,14002.01,1.5979,13.39,1045.73,334.61,388.09,336.26,51.83,323.03,72.68,73.82,,52.74,28.1,95.69,31.9977,37.1119,30.8904,1201,106.9,97.4,113.3,110.4,352.51,256.46,8763,19.78,6.63,13.15
